title,year,metacritic_score,metacritic_rank,oscars_nom,oscars_win,min_oscar_nom_metacritic_score,min_oscar_nom_rank,oscar_win_metacritic_score,oscar_win_rank,tie_rank
A.I. Artificial Intelligence,2001,65,129,0,0,66.0,123.0,72.0,79.0,4
ABC Africa,2002,73,72,0,0,72.0,82.0,81.0,26.0,9
Aberdeen,2001,78,38,0,0,66.0,123.0,72.0,79.0,2
Abominable,2019,61,317,0,0,58.0,353.0,96.0,1.0,9
Abortion: Stories Women Tell,2016,78,82,0,0,69.0,220.0,99.0,1.0,9
About Adam,2001,64,132,0,0,66.0,123.0,72.0,79.0,1
About Dry Grasses,2024,88,15,0,0,70.0,192.0,91.0,10.0,1
About Elly (2009),2015,87,21,0,0,76.0,119.0,93.0,6.0,3
About Endlessness,2021,87,21,0,0,49.0,437.0,72.0,171.0,4
About Schmidt,2002,85,12,0,0,72.0,82.0,81.0,26.0,3
About a Boy,2002,75,58,0,0,72.0,82.0,81.0,26.0,7
Absolute Wilson,2006,69,134,0,0,69.0,126.0,85.0,15.0,9
Abuse of Weakness,2014,77,78,0,0,71.0,166.0,87.0,16.0,1
"Acasă, My Home",2021,82,57,0,0,49.0,437.0,72.0,171.0,5
Active Measures,2018,68,248,0,0,49.0,490.0,69.0,224.0,11
Actress,2014,76,90,0,0,71.0,166.0,87.0,16.0,3
Ad Astra,2019,80,74,0,0,58.0,353.0,96.0,1.0,9
Adam,2009,56,217,0,0,53.0,242.0,95.0,1.0,3
Adam,2019,64,275,0,0,58.0,353.0,96.0,1.0,4
Adam Resurrected,2008,58,198,0,0,58.0,199.0,84.0,10.0,3
Adanggaman,2001,70,96,0,0,66.0,123.0,72.0,79.0,5
Adaptation.,2002,83,18,0,0,72.0,82.0,81.0,26.0,1
Addiction Incorporated,2011,68,150,0,0,46.0,409.0,89.0,5.0,4
Adoration,2009,64,159,0,0,53.0,242.0,95.0,1.0,3
Adorenarin doraibu,2000,69,104,0,0,64.0,126.0,67.0,110.0,8
Adrift,2018,56,412,0,0,49.0,490.0,69.0,224.0,3
Adventureland,2009,76,62,0,0,53.0,242.0,95.0,1.0,3
Aferim!,2016,84,30,0,0,69.0,220.0,99.0,1.0,2
Afghan Star,2009,78,53,0,0,53.0,242.0,95.0,1.0,5
Afire,2023,82,48,0,0,77.0,109.0,89.0,12.0,2
African Cats,2011,61,249,0,0,46.0,409.0,89.0,5.0,1
After Auschwitz,2018,74,152,0,0,49.0,490.0,69.0,224.0,13
After Everything,2018,67,263,0,0,49.0,490.0,69.0,224.0,10
After Innocence,2005,74,75,0,0,66.0,165.0,66.0,165.0,4
After Love,2023,81,56,0,0,77.0,109.0,89.0,12.0,1
After Parkland,2019,74,153,0,0,58.0,353.0,96.0,1.0,12
After Tiller,2013,74,112,0,0,75.0,95.0,96.0,1.0,11
After Yang,2022,78,84,0,0,63.0,296.0,81.0,51.0,4
After the Life,2004,73,87,0,0,67.0,131.0,86.0,11.0,5
After the Storm,2017,84,40,0,0,75.0,146.0,87.0,19.0,2
After the Wedding,2007,78,47,0,0,81.0,29.0,92.0,5.0,6
Afterimage,2017,75,152,0,0,75.0,146.0,87.0,19.0,18
Afternoon of a Faun: Tanaquil Le Clercq,2014,76,98,0,0,71.0,166.0,87.0,16.0,11
Afterschool,2009,66,143,0,0,53.0,242.0,95.0,1.0,4
Aftershock,2022,87,11,0,0,63.0,296.0,81.0,51.0,1
Aftersun,2022,95,1,0,0,63.0,296.0,81.0,51.0,1
Agnes,2021,65,277,0,0,49.0,437.0,72.0,171.0,11
Ahead of Time,2010,74,80,0,0,74.0,75.0,88.0,8.0,10
Ahed's Knee,2022,79,73,0,0,63.0,296.0,81.0,51.0,3
Ai Weiwei: Never Sorry,2012,81,37,0,0,63.0,234.0,86.0,12.0,7
Ai Weiwei: The Fake Case,2014,73,131,0,0,71.0,166.0,87.0,16.0,4
Aileen: Life and Death of a Serial Killer,2004,71,103,0,0,67.0,131.0,86.0,11.0,6
Ailey,2021,77,108,0,0,49.0,437.0,72.0,171.0,4
Aimee & Jaguar,2000,72,77,0,0,64.0,126.0,67.0,110.0,3
Ain't Them Bodies Saints,2013,74,111,0,0,75.0,95.0,96.0,1.0,10
Ain't in It for My Health: A Film About Levon Helm,2013,76,79,0,0,75.0,95.0,96.0,1.0,4
Air Doll (2009),2022,65,275,0,0,63.0,296.0,81.0,51.0,10
Aisha,2024,81,55,0,0,70.0,192.0,91.0,10.0,2
Ajami,2010,82,22,0,0,74.0,75.0,88.0,8.0,1
Akeelah and the Bee,2006,72,98,0,0,69.0,126.0,85.0,15.0,7
Akilla's Escape,2021,67,239,0,0,49.0,437.0,72.0,171.0,1
Alamar (To the Sea),2010,77,50,0,0,74.0,75.0,88.0,8.0,3
Albert Nobbs,2011,57,302,0,0,46.0,409.0,89.0,5.0,5
Alcarràs,2023,85,29,0,0,77.0,109.0,89.0,12.0,1
Alex Strangelove,2018,62,339,0,0,49.0,490.0,69.0,224.0,12
Alexandra,2008,85,8,0,0,58.0,199.0,84.0,10.0,2
