"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"Arizona","AZ",2020-03-17,"Sanders",24,79,TRUE,0,1,0,774
"Arizona","AZ",2020-03-17,"Sanders",16,80,FALSE,0,1,0,775
"Arizona","AZ",2020-03-17,"Sanders",17,80,FALSE,0,1,0,776
"Arizona","AZ",2020-03-17,"Sanders",18,80,FALSE,0,1,0,777
"Arizona","AZ",2020-03-17,"Sanders",19,80,FALSE,0,1,0,778
"Arizona","AZ",2020-03-17,"Sanders",20,80,FALSE,0,1,0,779
"Arizona","AZ",2020-03-17,"Sanders",21,80,FALSE,0,1,0,780
"Arizona","AZ",2020-03-17,"Sanders",22,80,FALSE,0,1,0,781
"Arizona","AZ",2020-03-17,"Sanders",23,80,FALSE,0,1,0,782
"Arizona","AZ",2020-03-17,"Sanders",24,80,FALSE,0,1,0,783
"Arizona","AZ",2020-03-17,"Sanders",17,81,FALSE,0,1,0,784
"California","CA",2020-03-03,"Biden",1,11,TRUE,1,0,0,116
"California","CA",2020-03-03,"Biden",2,11,TRUE,1,0,0,117
"California","CA",2020-03-03,"Biden",3,11,TRUE,1,0,0,118
"California","CA",2020-03-03,"Biden",4,11,TRUE,1,0,0,119
"California","CA",2020-03-03,"Biden",5,11,TRUE,1,0,0,120
"California","CA",2020-03-03,"Biden",6,11,TRUE,1,0,0,121
"California","CA",2020-03-03,"Biden",7,11,TRUE,1,0,0,122
"California","CA",2020-03-03,"Biden",8,11,TRUE,1,0,0,123
"California","CA",2020-03-03,"Biden",9,11,TRUE,1,0,0,124
"California","CA",2020-03-03,"Biden",1,12,TRUE,1,0,0,125
"California","CA",2020-03-03,"Biden",2,12,TRUE,1,0,0,126
"California","CA",2020-03-03,"Biden",3,12,TRUE,1,0,0,127
"California","CA",2020-03-03,"Biden",4,12,TRUE,1,0,0,128
"California","CA",2020-03-03,"Biden",5,12,TRUE,1,0,0,129
"California","CA",2020-03-03,"Biden",6,12,TRUE,1,0,0,130
"California","CA",2020-03-03,"Biden",7,12,TRUE,1,0,0,131
"California","CA",2020-03-03,"Biden",8,12,TRUE,1,0,0,132
"California","CA",2020-03-03,"Biden",9,12,TRUE,1,0,0,133
"California","CA",2020-03-03,"Biden",1,13,TRUE,1,0,0,134
"California","CA",2020-03-03,"Biden",2,13,TRUE,1,0,0,135
"California","CA",2020-03-03,"Biden",3,13,TRUE,1,0,0,136
"California","CA",2020-03-03,"Biden",4,13,TRUE,1,0,0,137
"California","CA",2020-03-03,"Biden",5,13,TRUE,1,0,0,138
"California","CA",2020-03-03,"Biden",6,13,TRUE,1,0,0,139
"California","CA",2020-03-03,"Biden",7,13,TRUE,1,0,0,140
"California","CA",2020-03-03,"Biden",8,13,TRUE,1,0,0,141
"California","CA",2020-03-03,"Biden",9,13,TRUE,1,0,0,142
"California","CA",2020-03-03,"Biden",1,14,TRUE,1,0,0,143
"California","CA",2020-03-03,"Biden",2,14,TRUE,1,0,0,144
"California","CA",2020-03-03,"Biden",3,14,TRUE,1,0,0,145
"California","CA",2020-03-03,"Biden",4,14,TRUE,1,0,0,146
"California","CA",2020-03-03,"Biden",5,14,TRUE,1,0,0,147
"California","CA",2020-03-03,"Biden",6,14,TRUE,1,0,0,148
"California","CA",2020-03-03,"Biden",7,14,TRUE,1,0,0,149
"California","CA",2020-03-03,"Biden",8,14,TRUE,1,0,0,150
"California","CA",2020-03-03,"Biden",9,14,TRUE,1,0,0,151
"California","CA",2020-03-03,"Biden",1,15,TRUE,1,0,0,152
"California","CA",2020-03-03,"Biden",2,15,TRUE,1,0,0,153
"California","CA",2020-03-03,"Biden",3,15,TRUE,1,0,0,154
"California","CA",2020-03-03,"Biden",4,15,TRUE,1,0,0,155
"California","CA",2020-03-03,"Biden",5,15,TRUE,1,0,0,156
"California","CA",2020-03-03,"Biden",6,15,TRUE,1,0,0,157
"California","CA",2020-03-03,"Biden",7,15,TRUE,1,0,0,158
"California","CA",2020-03-03,"Biden",8,15,TRUE,1,0,0,159
"California","CA",2020-03-03,"Biden",9,15,TRUE,1,0,0,160
"California","CA",2020-03-03,"Biden",1,16,TRUE,1,0,0,161
"California","CA",2020-03-03,"Biden",2,16,TRUE,1,0,0,162
"California","CA",2020-03-03,"Biden",3,16,TRUE,1,0,0,163
"California","CA",2020-03-03,"Biden",4,16,TRUE,1,0,0,164
"California","CA",2020-03-03,"Biden",5,16,TRUE,1,0,0,165
"California","CA",2020-03-03,"Biden",6,16,TRUE,1,0,0,166
"California","CA",2020-03-03,"Biden",7,16,TRUE,1,0,0,167
"California","CA",2020-03-03,"Biden",8,16,TRUE,1,0,0,168
"California","CA",2020-03-03,"Biden",9,16,TRUE,1,0,0,169
"California","CA",2020-03-03,"Biden",1,17,TRUE,1,0,0,170
"California","CA",2020-03-03,"Biden",2,17,TRUE,1,0,0,171
"California","CA",2020-03-03,"Biden",3,17,TRUE,1,0,0,172
"California","CA",2020-03-03,"Biden",4,17,TRUE,1,0,0,173
"California","CA",2020-03-03,"Biden",5,17,TRUE,1,0,0,174
"California","CA",2020-03-03,"Biden",6,17,TRUE,1,0,0,175
"California","CA",2020-03-03,"Biden",7,17,TRUE,1,0,0,176
"California","CA",2020-03-03,"Biden",8,17,TRUE,1,0,0,177
"California","CA",2020-03-03,"Biden",9,17,TRUE,1,0,0,178
"California","CA",2020-03-03,"Biden",1,18,TRUE,1,0,0,179
"California","CA",2020-03-03,"Biden",2,18,TRUE,1,0,0,180
"California","CA",2020-03-03,"Biden",3,18,TRUE,1,0,0,181
"California","CA",2020-03-03,"Biden",4,18,TRUE,1,0,0,182
"California","CA",2020-03-03,"Biden",5,18,TRUE,1,0,0,183
"California","CA",2020-03-03,"Biden",6,18,TRUE,1,0,0,184
"California","CA",2020-03-03,"Biden",7,18,TRUE,1,0,0,185
"California","CA",2020-03-03,"Biden",8,18,TRUE,1,0,0,186
"California","CA",2020-03-03,"Biden",9,18,TRUE,1,0,0,187
"California","CA",2020-03-03,"Biden",10,18,TRUE,1,0,0,188
"California","CA",2020-03-03,"Biden",1,19,TRUE,1,0,0,189
"California","CA",2020-03-03,"Biden",2,19,TRUE,1,0,0,190
"California","CA",2020-03-03,"Biden",3,19,TRUE,1,0,0,191
"California","CA",2020-03-03,"Biden",4,19,TRUE,1,0,0,192
"California","CA",2020-03-03,"Biden",5,19,TRUE,1,0,0,193
"California","CA",2020-03-03,"Biden",6,19,TRUE,1,0,0,194
"California","CA",2020-03-03,"Biden",7,19,TRUE,1,0,0,195
"California","CA",2020-03-03,"Biden",8,19,TRUE,1,0,0,196
"California","CA",2020-03-03,"Biden",9,19,TRUE,1,0,0,197
"California","CA",2020-03-03,"Biden",10,19,TRUE,1,0,0,198
"California","CA",2020-03-03,"Biden",1,20,TRUE,1,0,0,199
"California","CA",2020-03-03,"Biden",2,20,TRUE,1,0,0,200
"California","CA",2020-03-03,"Biden",3,20,TRUE,1,0,0,201
"California","CA",2020-03-03,"Biden",4,20,TRUE,1,0,0,202
"California","CA",2020-03-03,"Biden",5,20,TRUE,1,0,0,203
"California","CA",2020-03-03,"Biden",6,20,TRUE,1,0,0,204
"California","CA",2020-03-03,"Biden",7,20,TRUE,1,0,0,205
"California","CA",2020-03-03,"Biden",8,20,TRUE,1,0,0,206
"California","CA",2020-03-03,"Biden",9,20,TRUE,1,0,0,207
"California","CA",2020-03-03,"Biden",10,20,TRUE,1,0,0,208
"California","CA",2020-03-03,"Biden",1,21,TRUE,1,0,0,209
"California","CA",2020-03-03,"Biden",2,21,TRUE,1,0,0,210
"California","CA",2020-03-03,"Biden",3,21,TRUE,1,0,0,211
"California","CA",2020-03-03,"Biden",4,21,TRUE,1,0,0,212
"California","CA",2020-03-03,"Biden",5,21,TRUE,1,0,0,213
"California","CA",2020-03-03,"Biden",6,21,TRUE,1,0,0,214
"California","CA",2020-03-03,"Biden",7,21,TRUE,1,0,0,215
"California","CA",2020-03-03,"Biden",8,21,TRUE,1,0,0,216
"California","CA",2020-03-03,"Biden",9,21,TRUE,1,0,0,217
