"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share"
"California","CA",2020-03-03,"Biden",7,14,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,14,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,14,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,15,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,16,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,17,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,18,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,19,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,19,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,19,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,19,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,19,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,19,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,19,TRUE,1,0,0
