"state","candidate","col","row","actual","biden_share","sanders_share","other_share"
"CA","Sanders",13,11,TRUE,0,1,0
"CA","Sanders",14,11,TRUE,0,1,0
"CA","Sanders",15,11,TRUE,0,1,0
"CA","Sanders",16,11,TRUE,0,1,0
"CA","Sanders",17,11,TRUE,0,1,0
"CA","Sanders",18,11,TRUE,0,1,0
"CA","Sanders",19,11,TRUE,0,1,0
"CA","Sanders",20,11,TRUE,0,1,0
"CA","Sanders",21,11,TRUE,0,1,0
"CA","Sanders",10,12,TRUE,0,1,0
"CA","Sanders",11,12,TRUE,0,1,0
"CA","Sanders",12,12,TRUE,0,1,0
"CA","Sanders",13,12,TRUE,0,1,0
"CA","Sanders",14,12,TRUE,0,1,0
"CA","Sanders",15,12,TRUE,0,1,0
"CA","Sanders",16,12,TRUE,0,1,0
"CA","Sanders",17,12,TRUE,0,1,0
"CA","Sanders",18,12,TRUE,0,1,0
"CA","Sanders",19,12,TRUE,0,1,0
"CA","Sanders",20,12,TRUE,0,1,0
"CA","Sanders",21,12,TRUE,0,1,0
"CA","Sanders",22,12,TRUE,0,1,0
"CA","Sanders",11,13,TRUE,0,1,0
"CA","Sanders",12,13,TRUE,0,1,0
"CA","Sanders",13,13,TRUE,0,1,0
"CA","Sanders",14,13,TRUE,0,1,0
"CA","Sanders",15,13,TRUE,0,1,0
"CA","Sanders",16,13,TRUE,0,1,0
"CA","Sanders",17,13,TRUE,0,1,0
"CA","Sanders",18,13,TRUE,0,1,0
"CA","Sanders",19,13,TRUE,0,1,0
"CA","Sanders",20,13,TRUE,0,1,0
"CA","Sanders",21,13,TRUE,0,1,0
"CA","Sanders",22,13,TRUE,0,1,0
"CA","Sanders",11,14,TRUE,0,1,0
"CA","Sanders",12,14,TRUE,0,1,0
"CA","Sanders",13,14,TRUE,0,1,0
"CA","Sanders",14,14,TRUE,0,1,0
"CA","Sanders",15,14,TRUE,0,1,0
"CA","Sanders",16,14,TRUE,0,1,0
"CA","Sanders",17,14,TRUE,0,1,0
"CA","Sanders",18,14,TRUE,0,1,0
"CA","Sanders",19,14,TRUE,0,1,0
"CA","Sanders",20,14,TRUE,0,1,0
"CA","Sanders",21,14,TRUE,0,1,0
"CA","Sanders",22,14,TRUE,0,1,0
"CA","Sanders",11,15,TRUE,0,1,0
"CA","Sanders",12,15,TRUE,0,1,0
"CA","Sanders",13,15,TRUE,0,1,0
"CA","Sanders",14,15,TRUE,0,1,0
"CA","Sanders",15,15,TRUE,0,1,0
"CA","Sanders",16,15,TRUE,0,1,0
"CA","Sanders",17,15,TRUE,0,1,0
"CA","Sanders",18,15,TRUE,0,1,0
"CA","Sanders",19,15,TRUE,0,1,0
"CA","Sanders",20,15,TRUE,0,1,0
"CA","Sanders",21,15,TRUE,0,1,0
"CA","Sanders",22,15,TRUE,0,1,0
"CA","Sanders",11,16,TRUE,0,1,0
"CA","Sanders",12,16,TRUE,0,1,0
"CA","Sanders",13,16,TRUE,0,1,0
"CA","Sanders",14,16,TRUE,0,1,0
"CA","Sanders",15,16,TRUE,0,1,0
"CA","Sanders",16,16,TRUE,0,1,0
"CA","Sanders",17,16,TRUE,0,1,0
"CA","Sanders",18,16,TRUE,0,1,0
"CA","Sanders",19,16,TRUE,0,1,0
"CA","Sanders",20,16,TRUE,0,1,0
"CA","Sanders",21,16,TRUE,0,1,0
"CA","Sanders",22,16,TRUE,0,1,0
"CA","Sanders",11,17,TRUE,0,1,0
"CA","Sanders",12,17,TRUE,0,1,0
"CA","Sanders",13,17,TRUE,0,1,0
