"state","state_abb","date","primary","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"California","CA",2020-03-03,TRUE,"Biden",5,11,TRUE,1,0,0,120
"California","CA",2020-03-03,TRUE,"Biden",6,11,TRUE,1,0,0,121
"California","CA",2020-03-03,TRUE,"Biden",7,11,TRUE,1,0,0,122
"California","CA",2020-03-03,TRUE,"Biden",8,11,TRUE,1,0,0,123
"California","CA",2020-03-03,TRUE,"Biden",9,11,TRUE,1,0,0,124
"California","CA",2020-03-03,TRUE,"Biden",1,12,TRUE,1,0,0,125
"California","CA",2020-03-03,TRUE,"Biden",2,12,TRUE,1,0,0,126
"California","CA",2020-03-03,TRUE,"Biden",3,12,TRUE,1,0,0,127
"California","CA",2020-03-03,TRUE,"Biden",4,12,TRUE,1,0,0,128
"California","CA",2020-03-03,TRUE,"Biden",5,12,TRUE,1,0,0,129
"California","CA",2020-03-03,TRUE,"Biden",6,12,TRUE,1,0,0,130
"California","CA",2020-03-03,TRUE,"Biden",7,12,TRUE,1,0,0,131
"California","CA",2020-03-03,TRUE,"Biden",8,12,TRUE,1,0,0,132
"California","CA",2020-03-03,TRUE,"Biden",9,12,TRUE,1,0,0,133
"California","CA",2020-03-03,TRUE,"Biden",1,13,TRUE,1,0,0,134
"California","CA",2020-03-03,TRUE,"Biden",2,13,TRUE,1,0,0,135
"California","CA",2020-03-03,TRUE,"Biden",3,13,TRUE,1,0,0,136
"California","CA",2020-03-03,TRUE,"Biden",4,13,TRUE,1,0,0,137
"California","CA",2020-03-03,TRUE,"Biden",5,13,TRUE,1,0,0,138
"California","CA",2020-03-03,TRUE,"Biden",6,13,TRUE,1,0,0,139
"California","CA",2020-03-03,TRUE,"Biden",7,13,TRUE,1,0,0,140
"California","CA",2020-03-03,TRUE,"Biden",8,13,TRUE,1,0,0,141
"California","CA",2020-03-03,TRUE,"Biden",9,13,TRUE,1,0,0,142
"California","CA",2020-03-03,TRUE,"Biden",1,14,TRUE,1,0,0,143
"California","CA",2020-03-03,TRUE,"Biden",2,14,TRUE,1,0,0,144
"California","CA",2020-03-03,TRUE,"Biden",3,14,TRUE,1,0,0,145
"California","CA",2020-03-03,TRUE,"Biden",4,14,TRUE,1,0,0,146
"California","CA",2020-03-03,TRUE,"Biden",5,14,TRUE,1,0,0,147
"California","CA",2020-03-03,TRUE,"Biden",6,14,TRUE,1,0,0,148
"California","CA",2020-03-03,TRUE,"Biden",7,14,TRUE,1,0,0,149
"California","CA",2020-03-03,TRUE,"Biden",8,14,TRUE,1,0,0,150
