title,release_date,metacritic_score
The Mechanic,2011-01-28,49
Griff the Invisible,2011-08-19,49
Sherlock Holmes: A Game of Shadows,2011-12-16,48
Glee: The 3D Concert Movie,2011-08-12,48
The Bang Bang Club,2011-04-22,48
Every Day,2011-01-14,48
Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,2011-11-25,48
One Day,2011-08-19,48
The Perfect Host,2011-07-01,48
The Catechism Cataclysm,2011-10-19,47
Dumbstruck,2011-04-15,47
Bad Teacher,2011-06-24,47
Restless,2011-09-16,47
Monogamy,2011-03-11,47
"Lebanon, Pa.",2011-04-29,47
The Dilemma,2011-01-14,46
Burke and Hare,2011-09-09,46
The Broken Tower,2011-06-20,46
The Flowers of War,2011-12-21,46
Extremely Loud and Incredibly Close,2011-12-25,46
Immortals,2011-11-11,46
Johnny English Reborn,2011-10-21,46
Another Happy Day,2011-11-18,46
Killing Bono,2011-11-04,46
Straw Dogs,2011-09-16,45
Happythankyoumoreplease,2011-03-04,45
Colombiana,2011-08-26,45
The Twilight Saga: Breaking Dawn - Part 1,2011-11-18,45
Finding Joe,2011-09-30,45
Madea's Big Happy Family,2011-04-22,45
Miral,2011-03-25,45
Pirates of the Caribbean: On Stranger Tides,2011-05-20,45
Hall Pass,2011-02-25,45
Hesher,2011-05-13,45
Drive Angry 3D,2011-02-25,44
Carbon Nation,2011-02-11,44
Sympathy for Delicious,2011-04-29,44
A Good Old Fashioned Orgy,2011-09-02,44
The Hangover Part II,2011-05-26,44
Mia and the Migoo,2011-03-25,44
Cook County,2011-12-16,44
Killer Elite,2011-09-23,44
Machine Gun Preacher,2011-09-23,43
