league,year,team,city,state,lat,lng
NHL,1974,Philadelphia Flyers,Philadelphia,PA,39.9526,-75.1652
MLB,1975,Cincinnati Reds,Cincinnati,OH,39.1031,-84.512
NBA,1975,Golden State Warriors,San Francisco,CA,37.7749,-112.4194
NFL,1975,Pittsburgh Steelers,Pittsburgh,PA,40.4406,-79.9959
NHL,1975,Philadelphia Flyers,Philadelphia,PA,39.9526,-75.1652
MLB,1976,Cincinnati Reds,Cincinnati,OH,39.1031,-84.512
NBA,1976,Boston Celtics,Boston,MA,42.3601,-71.0589
NFL,1976,Pittsburgh Steelers,Pittsburgh,PA,40.4406,-79.9959
NHL,1976,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1977,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1977,Portland Trail Blazers,Portland,OR,45.5231,-122.6765
NFL,1977,Oakland Raiders,San Francisco,CA,37.7749,-112.4194
NHL,1977,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1978,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1978,Washington Bullets,Washington,DC,38.9072,-77.0369
NFL,1978,Dallas Cowboys,Dallas,TX,32.7767,-96.797
NHL,1978,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1979,Pittsburgh Pirates,Pittsburgh,PA,40.4406,-79.9959
NBA,1979,Seattle SuperSonics,Seattle,WA,47.6062,-122.3321
NFL,1979,Pittsburgh Steelers,Pittsburgh,PA,40.4406,-79.9959
NHL,1979,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1980,Philadelphia Phillies,Philadelphia,PA,39.9526,-75.1652
NBA,1980,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,1980,Pittsburgh Steelers,Pittsburgh,PA,40.4406,-79.9959
NHL,1980,New York Islanders,New York,NY,40.7128,-74.0059
MLB,1981,Los Angeles Dodgers,Los Angeles,CA,34.0522,-118.2437
NBA,1981,Boston Celtics,Boston,MA,42.3601,-71.0589
NFL,1981,Oakland Raiders,San Francisco,CA,37.7749,-112.4194
NHL,1981,New York Islanders,New York,NY,40.7128,-74.0059
MLB,1982,St. Louis Cardinals,St. Louis,MO,38.627,-90.1994
NBA,1982,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,1982,San Francisco 49ers,San Francisco,CA,37.7749,-112.4194
NHL,1982,New York Islanders,New York,NY,40.7128,-74.0059
MLB,1983,Baltimore Orioles,Baltimore,MD,39.2904,-76.6122
NBA,1983,Philadelphia 76ers,Philadelphia,PA,39.9526,-75.1652
NFL,1983,Washington Redskins,Washington,DC,38.9072,-77.0369
NHL,1983,New York Islanders,New York,NY,40.7128,-74.0059
MLB,1984,Detroit Tigers,Detroit,MI,42.3314,-83.0458
NBA,1984,Boston Celtics,Boston,MA,42.3601,-71.0589
NFL,1984,Los Angeles Raiders,Los Angeles,CA,34.0522,-118.2437
NHL,1984,Edmonton Oilers,Edmonton,CAN,53.5444,-113.4909
MLB,1985,Kansas City Royals,Kansas City,MO,39.0997,-94.5786
NBA,1985,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,1985,San Francisco 49ers,San Francisco,CA,37.7749,-112.4194
NHL,1985,Edmonton Oilers,Edmonton,CAN,53.5444,-113.4909
MLB,1986,New York Mets,New York,NY,40.7128,-74.0059
NBA,1986,Boston Celtics,Boston,MA,42.3601,-71.0589
NFL,1986,Chicago Bears,Chicago,IL,41.8781,-87.6298
NHL,1986,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1987,Minnesota Twins,Minneapolis,MN,44.9778,-93.265
NBA,1987,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,1987,New York Giants,New York,NY,40.7128,-74.0059
NHL,1987,Edmonton Oilers,Edmonton,CAN,53.5444,-113.4909
MLB,1988,Los Angeles Dodgers,Los Angeles,CA,34.0522,-118.2437
NBA,1988,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,1988,Washington Redskins,Washington,DC,38.9072,-77.0369
NHL,1988,Edmonton Oilers,Edmonton,CAN,53.5444,-113.4909
MLB,1989,Oakland Athletics,San Francisco,CA,37.7749,-112.4194
NBA,1989,Detroit Pistons,Detroit,MI,42.3314,-83.0458
NFL,1989,San Francisco 49ers,San Francisco,CA,37.7749,-112.4194
NHL,1989,Calgary Flames,Calgary,CAN,51.0486,-114.0708
MLB,1990,Cincinnati Reds,Cincinnati,OH,39.1031,-84.512
NBA,1990,Detroit Pistons,Detroit,MI,42.3314,-83.0458
NFL,1990,San Francisco 49ers,San Francisco,CA,37.7749,-112.4194
NHL,1990,Edmonton Oilers,Edmonton,CAN,53.5444,-113.4909
MLB,1991,Minnesota Twins,Minneapolis,MN,44.9778,-93.265
NBA,1991,Chicago Bulls,Chicago,IL,41.8781,-87.6298
NFL,1991,New York Giants,New York,NY,40.7128,-74.0059
