"","Code-3","Country","Code-2","Sport","Games","G","S","B","Year"
"176","RUS","Russia","RU","Figure Skating","Vancouver 2010",0,1,1,2010
"177","RUS","Russia","RU","Skeleton","Vancouver 2010",0,0,1,2010
"178","RUS","Russia","RU","Snowboard","Vancouver 2010",0,1,0,2010
"179","RUS","Russia","RU","Speed Skating","Vancouver 2010",0,1,1,2010
"180","SLO","Slovania","SI","Alpine Skiing","Vancouver 2010",0,2,0,2010
"181","SLO","Slovania","SI","Cross-Country Skiing","Vancouver 2010",0,0,1,2010
"182","SUI","Switzerland","CH","Alpine Skiing","Vancouver 2010",2,0,1,2010
"183","SUI","Switzerland","CH","Cross-Country Skiing","Vancouver 2010",1,0,0,2010
"184","SUI","Switzerland","CH","Curling","Vancouver 2010",0,0,1,2010
"185","SUI","Switzerland","CH","Freestyle Skiing","Vancouver 2010",1,0,0,2010
"186","SUI","Switzerland","CH","Ski Jumping","Vancouver 2010",2,0,0,2010
"187","SVK","Slovakia","SK","Biathlon","Vancouver 2010",1,1,1,2010
"188","SWE","Sweden","SE","Alpine Skiing","Vancouver 2010",0,0,2,2010
"189","SWE","Sweden","SE","Biathlon","Vancouver 2010",1,0,0,2010
"190","SWE","Sweden","SE","Cross-Country Skiing","Vancouver 2010",3,2,2,2010
"191","SWE","Sweden","SE","Curling","Vancouver 2010",1,0,0,2010
"192","USA","United States","US","Alpine Skiing","Vancouver 2010",2,3,3,2010
"193","USA","United States","US","Bobsleigh","Vancouver 2010",1,0,1,2010
"194","USA","United States","US","Figure Skating","Vancouver 2010",1,1,0,2010
"195","USA","United States","US","Freestyle Skiing","Vancouver 2010",1,1,2,2010
"196","USA","United States","US","Ice Hockey","Vancouver 2010",0,2,0,2010
"197","USA","United States","US","Short Track Speed Skating","Vancouver 2010",0,2,4,2010
"198","USA","United States","US","Snowboard","Vancouver 2010",1,1,2,2010
"199","USA","United States","US","Speed Skating","Vancouver 2010",1,2,1,2010
"200","AUS","Australia","AU","Freestyle Skiing","Turin 2006",1,0,1,2006
"201","AUT","Austria","AT","Alpine Skiing","Turin 2006",4,5,5,2006
"202","AUT","Austria","AT","Cross-Country Skiing","Turin 2006",0,0,1,2006
"203","AUT","Austria","AT","Luge","Turin 2006",1,0,0,2006
"204","AUT","Austria","AT","Ski Jumping","Turin 2006",2,1,0,2006
"205","AUT","Austria","AT","Snowboard","Turin 2006",0,0,1,2006
"206","BLR","Belarus","BY","Freestyle Skiing","Turin 2006",0,1,0,2006
"207","BUL","Bulgaria","BG","Short Track Speed Skating","Turin 2006",0,1,0,2006
"208","CAN","Canada","CA","Bobsleigh","Turin 2006",0,1,0,2006
"209","CAN","Canada","CA","Cross-Country Skiing","Turin 2006",1,0,0,2006
"210","CAN","Canada","CA","Curling","Turin 2006",1,0,1,2006
"211","CAN","Canada","CA","Figure Skating","Turin 2006",0,0,1,2006
"212","CAN","Canada","CA","Freestyle Skiing","Turin 2006",1,0,0,2006
"213","CAN","Canada","CA","Ice Hockey","Turin 2006",1,0,0,2006
"214","CAN","Canada","CA","Short Track Speed Skating","Turin 2006",0,3,1,2006
"215","CAN","Canada","CA","Skeleton","Turin 2006",1,1,1,2006
"216","CAN","Canada","CA","Snowboard","Turin 2006",0,0,1,2006
"217","CAN","Canada","CA","Speed Skating","Turin 2006",2,4,2,2006
"218","CHN","China","CN","Figure Skating","Turin 2006",0,1,1,2006
"219","CHN","China","CN","Freestyle Skiing","Turin 2006",1,1,0,2006
"220","CHN","China","CN","Short Track Speed Skating","Turin 2006",1,1,3,2006
"221","CRO","Croatia","HR","Alpine Skiing","Turin 2006",1,2,0,2006
"222","CZE","Czech Republic","CZ","Cross-Country Skiing","Turin 2006",1,2,0,2006
"223","CZE","Czech Republic","CZ","Ice Hockey","Turin 2006",0,0,1,2006
"224","EST","Estonia","EE","Cross-Country Skiing","Turin 2006",3,0,0,2006
"225","FIN","Finland","FI","Alpine Skiing","Turin 2006",0,1,0,2006
"226","FIN","Finland","FI","Curling","Turin 2006",0,1,0,2006
"227","FIN","Finland","FI","Freestyle Skiing","Turin 2006",0,1,0,2006
"228","FIN","Finland","FI","Ice Hockey","Turin 2006",0,1,0,2006
"229","FIN","Finland","FI","Ski Jumping","Turin 2006",0,2,0,2006
"230","FIN","Finland","FI","Snowboard","Turin 2006",0,0,1,2006
"231","FRA","France","FR","Alpine Skiing","Turin 2006",1,1,0,2006
"232","FRA","France","FR","Biathlon","Turin 2006",2,0,2,2006
"233","FRA","France","FR","Cross-Country Skiing","Turin 2006",0,1,0,2006
"234","FRA","France","FR","Freestyle Skiing","Turin 2006",0,0,1,2006
